"Genus"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Fluoribacter"	29.1499177650624	-7.77698377430044	0.835040970901847	-9.31329604809843	1.23925646340978e-20	1.46727965267718e-18
"Coraliomargarita"	107.147114218693	-6.03668292345504	0.742269586989821	-8.13273644678886	4.19706472492864e-16	3.10582789644719e-14
"Nautilia"	41.1332495121794	-5.96323962031836	0.815351414281067	-7.31370488340469	2.59875567510728e-13	1.39860305423955e-11
"Collimonas"	8.85671130521697	-5.55369974435786	1.58127499693249	-3.5121656607051	0.000444470853477832	0.0019490870019176
"Cylindrospermopsis"	13.8452584158434	-5.17702700485152	0.837990210718299	-6.17790868990454	6.49562616510399e-10	2.02390036302187e-08
"Parachlamydia"	20.1796056707063	-5.10536776180615	0.505578843727479	-10.0980644762859	5.6343221881187e-24	8.33879683841568e-22
"Ethanoligenens"	620.060383046826	-4.75673077743193	0.572118468891695	-8.31424090651478	9.23414045523823e-17	7.80944449928719e-15
"Fervidobacterium"	43.2956513089682	-4.70212331403881	0.674318407034473	-6.97314987250291	3.09922146824185e-12	1.52894925766598e-10
"Mesoplasma"	10.4275669247343	-4.63334850490016	0.699929325190461	-6.61973764799661	3.59836918030124e-11	1.33139659671146e-09
"Kosmotoga"	14.966582230112	-4.5355513535559	0.721153227852236	-6.28930326924258	3.1889395020143e-10	1.04880676955137e-08
"Oxalobacter"	60.5856924432988	-4.50574473141016	0.506427316757447	-8.89712024276167	5.73143956825063e-19	5.65502037400729e-17
"Marinococcus"	2.73027474773229	-4.34859032925945	1.33899468722901	-3.24765316153619	0.00116361018424292	0.00420034895775493
"Leptospirillum"	2.05209319742755	-4.23179083327001	1.42708080258499	-2.96534774036944	0.00302340965047477	0.00972749191891881
"Mucilaginibacter"	80.8639868029439	-4.01606852903549	0.593216947806532	-6.76998279277966	1.28797713242339e-11	5.44630330281889e-10
"Ornithobacterium"	1.27762060971936	-3.65348040031248	0.750252359703226	-4.86966865623411	1.11785536621281e-06	1.56341493032633e-05
"Nitratiruptor"	12.4038606712121	-3.44242194508887	0.621801779939987	-5.5362047136969	3.09096267289985e-08	6.77722186058042e-07
"Fulvimarina"	33.5239398894693	-3.36112327833809	0.695884088702749	-4.83000449773728	1.36529966449915e-06	1.75708130735543e-05
"Limnobacter"	20.0938996466473	-3.32158370950933	0.71448162218322	-4.64894212304533	3.33641808823176e-06	3.79838366967924e-05
"Persephonella"	5.25588979026525	-3.28090604197078	0.653515427583604	-5.02039569915287	5.15651444466104e-07	8.62392493178154e-06
"Hoeflea"	29.7520421059031	-3.24765215025543	0.621165996235702	-5.22831605389924	1.71060908670533e-07	3.16462681040486e-06
"Lyngbya"	13.6832500379366	-3.20220548500647	0.661761394566555	-4.83891250124052	1.30551502133557e-06	1.71747753917924e-05
"Gemmatimonas"	47.2758136081417	-3.1818940598319	0.410447479121251	-7.75225630973345	9.02739445215023e-15	5.93801946185882e-13
"Methylovorus"	26.1022861517449	-3.0410301580494	0.730445573159416	-4.16325359450938	3.13744576530557e-05	0.000223779264224205
